Corporation,corporation_kn,corporation_id,ac,ac_kn,ac_no,Assembly,ward_id,ward_name,ward_name_kn,TOT_P,TOT_M,TOT_F,SC_P,SC_M,SC_F,ST_P,ST_M,ST_F,RO_Code,RO_Division,ARO_Code,ARO_ Sub Division,zone,zone_name,Reservation,parks,toilets,lakes,Top Concern,2nd Concern,3rd Concern
West,ಪಶ್ಚಿಮ,5,Govindraj Nagar,ಗೋವಿಂದರಾಜ ನಗರ,166,166 - Govindraj Nagar,71,71 - Thimmenahalli,ತಿಮ್ಮೇನಹಳ್ಳಿ,23837,12315,11522,2508,1231,1278,432,228,205,4,RO- Govindraj Nagar,14,ARO- Thimenhalli,Zone2,Malleshwaram,"Backward Class ""A""",3,0,0,Electrical,Solid Waste (Garbage) Related,Forest
West,ಪಶ್ಚಿಮ,5,Govindraj Nagar,ಗೋವಿಂದರಾಜ ನಗರ,166,166 - Govindraj Nagar,72,72 - Kaveripura,ಕಾವೇರಿಪುರ,22300,12360,9940,793,437,356,444,238,206,4,RO- Govindraj Nagar,13,ARO- Kaveripura,Zone2,Malleshwaram,General (Women),0,0,0,Solid Waste (Garbage) Related,Electrical,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Govindraj Nagar,ಗೋವಿಂದರಾಜ ನಗರ,166,166 - Govindraj Nagar,73,73 - Dr. Vishnuvardhan Ward,ಡಾII ವಿಷ್ಣುವರ್ಧನ್ ವಾರ್ಡ್,21949,11129,10820,802,408,395,238,130,108,4,RO- Govindraj Nagar,14,ARO- Thimenhalli,Zone2,Malleshwaram,"Backward Class ""A"" (Women)",10,0,0,Solid Waste (Garbage) Related,Road Maintenance(Engg),Forest
West,ಪಶ್ಚಿಮ,5,Govindraj Nagar,ಗೋವಿಂದರಾಜ ನಗರ,166,166 - Govindraj Nagar,74,74 - Pattegar Palya,ಪಟ್ಟೆಗಾರ್ ಪಾಳ್ಯ,20465,10741,9723,970,497,472,531,269,261,4,RO- Govindraj Nagar,13,ARO- Kaveripura,Zone2,Malleshwaram,General (Women),1,1,1,Solid Waste (Garbage) Related,Electrical,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Govindraj Nagar,ಗೋವಿಂದರಾಜ ನಗರ,166,166 - Govindraj Nagar,75,75 - Marenahalli West,ಮಾರೇನಹಳ್ಳಿ ಪಶ್ಚಿಮ,23915,12415,11500,1082,563,519,391,187,204,3,RO- Chandra Layout,10,ARO- Marenahalli,Zone2,Malleshwaram,"Backward Class ""A"" (Women)",2,0,0,Solid Waste (Garbage) Related,Road Maintenance(Engg),Forest
West,ಪಶ್ಚಿಮ,5,Govindraj Nagar,ಗೋವಿಂದರಾಜ ನಗರ,166,166 - Govindraj Nagar,76,76 - Moodalapalya,ಮೂಡಲಪಾಳ್ಯ,19590,10168,9421,1122,575,547,403,204,200,3,RO- Chandra Layout,10,ARO- Marenahalli,Zone2,Malleshwaram,"Backward Class ""A"" (Women)",1,0,0,Road Maintenance(Engg),Solid Waste (Garbage) Related,Electrical
West,ಪಶ್ಚಿಮ,5,Govindraj Nagar,ಗೋವಿಂದರಾಜ ನಗರ,166,166 - Govindraj Nagar,77,77 - Maruthi Mandira Ward,ಮಾರುತಿ ಮಂದಿರ ವಾರ್ಡ್,21251,11060,10191,1029,538,491,252,130,122,3,RO- Chandra Layout,11,ARO- Maruthi Mandira,Zone2,Malleshwaram,"Backward Class ""B"" (Women)",6,0,0,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Govindraj Nagar,ಗೋವಿಂದರಾಜ ನಗರ,166,166 - Govindraj Nagar,78,78 - Anubhava Nagara,ಅನುಭವ ನಗರ,23375,12025,11350,1045,520,525,317,167,150,3,RO- Chandra Layout,11,ARO- Maruthi Mandira,Zone2,Malleshwaram,"Backward Class ""A"" (Women)",5,2,0,Road Maintenance(Engg),Solid Waste (Garbage) Related,Electrical
West,ಪಶ್ಚಿಮ,5,Govindraj Nagar,ಗೋವಿಂದರಾಜ ನಗರ,166,166 - Govindraj Nagar,79,79 - Nagarbhavi,ನಾಗರಭಾವಿ,28194,14491,13703,2075,1046,1029,396,200,196,3,RO- Chandra Layout,9,ARO- Chandra Layout,Zone2,Malleshwaram,General,4,0,0,Solid Waste (Garbage) Related,Road Maintenance(Engg),Electrical
West,ಪಶ್ಚಿಮ,5,Govindraj Nagar,ಗೋವಿಂದರಾಜ ನಗರ,166,166 - Govindraj Nagar,80,80 - Chandra Layout,ಚಂದ್ರ ಲೇಔಟ್,26205,13378,12827,1810,907,904,361,184,177,3,RO- Chandra Layout,9,ARO- Chandra Layout,Zone2,Malleshwaram,"Backward Class ""A""",6,0,0,Solid Waste (Garbage) Related,Electrical,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Govindraj Nagar,ಗೋವಿಂದರಾಜ ನಗರ,166,166 - Govindraj Nagar,81,81 - Nayanda Halli,ನಾಯಂಡ ಹಳ್ಳಿ,25982,13376,12606,4615,2312,2303,471,246,225,3,RO- Chandra Layout,9,ARO- Chandra Layout,Zone2,Malleshwaram,Scheduled Caste,6,0,1,Solid Waste (Garbage) Related,Road Maintenance(Engg),Electrical
West,ಪಶ್ಚಿಮ,5,Vijayanagar,ವಿಜಯನಗರ,167,167 - Vijayanagar,82,82 - Attigupe,ಅತ್ತಿಗುಪ್ಪೆ,24614,12673,11941,1632,843,789,258,129,129,12,RO- Hampi Nagar,37,ARO- Hampi Nagar,Zone2,Malleshwaram,"Backward Class ""A""",24,2,0,Solid Waste (Garbage) Related,Electrical,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Vijayanagar,ವಿಜಯನಗರ,167,167 - Vijayanagar,83,83 - Hampi Nagar,ಹಂಪಿ ನಗರ,23420,12018,11402,959,488,471,253,121,132,12,RO- Hampi Nagar,37,ARO- Hampi Nagar,Zone2,Malleshwaram,"Backward Class ""B""",12,3,0,Solid Waste (Garbage) Related,Electrical,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Vijayanagar,ವಿಜಯನಗರ,167,167 - Vijayanagar,84,84 - Hosahalli,ಹೊಸಹಳ್ಳಿ,27966,14417,13548,3020,1536,1484,376,194,183,13,RO- Vijayanagar,39,ARO- Hosahalli,Zone2,Malleshwaram,"Backward Class ""A""",6,4,0,Electrical,Road Maintenance(Engg),Solid Waste (Garbage) Related
West,ಪಶ್ಚಿಮ,5,Vijayanagar,ವಿಜಯನಗರ,167,167 - Vijayanagar,85,85 - Adi Chunchanagiri Ward,ಆದಿ ಚುಂಚನಗಿರಿ ವಾರ್ಡ್,26463,13516,12947,1309,655,654,341,178,163,13,RO- Vijayanagar,39,ARO- Hosahalli,Zone2,Malleshwaram,"Backward Class ""B""",10,3,0,Electrical,Road Maintenance(Engg),Solid Waste (Garbage) Related
West,ಪಶ್ಚಿಮ,5,Vijayanagar,ವಿಜಯನಗರ,167,167 - Vijayanagar,86,86 - Vidyaranyanagara,ವಿದ್ಯಾರಣ್ಯನಗರ,28411,14786,13705,1977,1018,958,722,380,342,13,RO- Vijayanagar,40,ARO- KP Agrahara,Zone2,Malleshwaram,"Backward Class ""A"" (Women)",0,0,0,Electrical,Road Maintenance(Engg),Solid Waste (Garbage) Related
West,ಪಶ್ಚಿಮ,5,Vijayanagar,ವಿಜಯನಗರ,167,167 - Vijayanagar,87,87 - K.P Agrahara,ಕೆ.ಪಿ. ಅಗ್ರಹಾರ,23555,12024,11451,986,479,507,323,161,162,13,RO- Vijayanagar,40,ARO- KP Agrahara,Zone2,Malleshwaram,"Backward Class ""A"" (Women)",4,2,0,Electrical,Road Maintenance(Engg),Solid Waste (Garbage) Related
West,ಪಶ್ಚಿಮ,5,Vijayanagar,ವಿಜಯನಗರ,167,167 - Vijayanagar,88,88 - Sangolli Rayanna Ward,ಸಂಗೊಳ್ಳಿ ರಾಯಣ್ಣ ವಾರ್ಡ್,26299,13342,12957,610,314,297,2054,1058,997,13,RO- Vijayanagar,40,ARO- KP Agrahara,Zone2,Malleshwaram,Scheduled Tribes (Women),0,0,0,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Vijayanagar,ವಿಜಯನಗರ,167,167 - Vijayanagar,89,89 - Bapuji Nagara,ಬಾಪೂಜಿ ನಗರ,20625,10705,9921,628,319,309,277,148,129,13,RO- Vijayanagar,38,ARO- Gali Anjaneya Temple,Zone2,Malleshwaram,"Backward Class ""A""",0,2,0,Electrical,Road Maintenance(Engg),Solid Waste (Garbage) Related
West,ಪಶ್ಚಿಮ,5,Vijayanagar,ವಿಜಯನಗರ,167,167 - Vijayanagar,90,90 - Krishnadevaraya ward,ಕೃಷ್ಣದೇವರಾಯ ವಾರ್ಡ್,28148,14478,13669,3804,1945,1859,448,232,216,13,RO- Vijayanagar,38,ARO- Gali Anjaneya Temple,Zone2,Malleshwaram,Scheduled Caste (Women),3,2,0,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Vijayanagar,ವಿಜಯನಗರ,167,167 - Vijayanagar,91,91 - Gali Anjaneya Temple Ward,ಗಾಳಿ ಆಂಜನೇಯ ದೇವಸ್ಥಾನ ವಾರ್ಡ್,22841,11807,11034,2269,1187,1082,688,367,321,13,RO- Vijayanagar,38,ARO- Gali Anjaneya Temple,Zone2,Malleshwaram,General (Women),6,2,0,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Vijayanagar,ವಿಜಯನಗರ,167,167 - Vijayanagar,92,92 - Muneshwara Block,ಮುನೇಶ್ವರ ಬ್ಲಾಕ್,19922,10335,9587,2234,1133,1102,397,198,199,12,RO- Hampi Nagar,36,ARO- Avalahalli,Zone2,Malleshwaram,General (Women),3,4,0,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Vijayanagar,ವಿಜಯನಗರ,167,167 - Vijayanagar,93,93 - Avalahalli,ಆವಲಹಳ್ಳಿ,24326,12633,11693,1052,546,506,293,141,152,12,RO- Hampi Nagar,36,ARO- Avalahalli,Zone2,Malleshwaram,"Backward Class ""A"" (Women)",0,0,0,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Vijayanagar,ವಿಜಯನಗರ,167,167 - Vijayanagar,94,94 - Deepanjali Nagara,ದೀಪಾಂಜಲಿ ನಗರ,27561,14457,13104,3449,1812,1637,586,316,269,12,RO- Hampi Nagar,37,ARO- Hampi Nagar,Zone2,Malleshwaram,General,2,7,1,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Basavanagudi,ಬಸವನಗುಡಿ,170,170 - Basavanagudi,95,95 - Swamy Vivekananda Ward,ಸ್ವಾಮಿ ವಿವೇಕಾನಂದ ವಾರ್ಡ್,28152,14070,14081,445,224,221,226,115,111,1,RO- Basavanagudi,2,ARO- Katriguppe,Zone2,Malleshwaram,General (Women),6,5,0,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Basavanagudi,ಬಸವನಗುಡಿ,170,170 - Basavanagudi,96,96 - Kathriguppe,ಕತ್ರಿಗುಪ್ಪೆ,27696,14064,13632,557,294,263,372,179,193,1,RO- Basavanagudi,2,ARO- Katriguppe,Zone2,Malleshwaram,General (Women),4,4,0,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Basavanagudi,ಬಸವನಗುಡಿ,170,170 - Basavanagudi,97,97 - Srinivasa Nagara,ಶ್ರೀನಿವಾಸ ನಗರ,25716,13278,12438,385,195,190,366,202,164,1,RO- Basavanagudi,4,ARO- Srinivasa Nagara,Zone2,Malleshwaram,General (Women),1,1,0,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Basavanagudi,ಬಸವನಗುಡಿ,170,170 - Basavanagudi,98,98 - Ashoka Nagara,ಅಶೋಕ ನಗರ,28420,14813,13607,367,188,179,224,120,104,1,RO- Basavanagudi,1,ARO- Hanumanthanagar,Zone2,Malleshwaram,General,2,2,0,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Basavanagudi,ಬಸವನಗುಡಿ,170,170 - Basavanagudi,99,99 - T.R Shamanna Nagar,ಟಿ.ಆರ್.ಶಾಮಣ್ಣ ನಗರ,22292,11372,10920,875,459,416,314,151,164,1,RO- Basavanagudi,3,ARO- Srinagar,Zone2,Malleshwaram,General (Women),1,0,0,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Basavanagudi,ಬಸವನಗುಡಿ,170,170 - Basavanagudi,100,100 - Srinagar,ಶ್ರೀನಗರ,19229,9979,9250,515,253,262,653,324,329,1,RO- Basavanagudi,3,ARO- Srinagar,Zone2,Malleshwaram,"Backward Class ""B"" (Women)",0,0,0,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Basavanagudi,ಬಸವನಗುಡಿ,170,170 - Basavanagudi,101,101 - Kempambudhi Ward,ಕೆಂಪಾಂಬುಧಿ ವಾರ್ಡ್,19310,9996,9314,986,509,477,401,198,203,1,RO- Basavanagudi,3,ARO- Srinagar,Zone2,Malleshwaram,"Backward Class ""B""",8,0,1,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Basavanagudi,ಬಸವನಗುಡಿ,170,170 - Basavanagudi,102,102 - Hanumanthanagar,ಹನುಮಂತನಗರ,24583,12375,12208,255,131,124,221,110,112,1,RO- Basavanagudi,1,ARO- Hanumanthanagar,Zone2,Malleshwaram,General,2,2,0,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Basavanagudi,ಬಸವನಗುಡಿ,170,170 - Basavanagudi,103,103 - N.R Colony,ಎನ್.ಆರ್. ಕಾಲೋನಿ,27603,13746,13857,453,235,217,290,134,156,1,RO- Basavanagudi,4,ARO- Srinivasa Nagara,Zone2,Malleshwaram,General (Women),6,7,0,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Basavanagudi,ಬಸವನಗುಡಿ,170,170 - Basavanagudi,104,104 - Thyagarajnagar,ತ್ಯಾಗರಾಜನಗರ,21082,10786,10296,2542,1275,1267,661,327,334,1,RO- Basavanagudi,4,ARO- Srinivasa Nagara,Zone2,Malleshwaram,General (Women),1,1,0,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Padmanabanagar,ಪದ್ಮನಾಭನಗರ,171,171 - Padmanabanagar,105,105 - Yediyuru,ಯಡಿಯೂರು,23023,11598,11425,574,297,277,411,191,220,7,RO- Yediyuru,25,ARO- Yediyuru,Zone1,Rajarajeshwarinagar,General (Women),5,6,1,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Padmanabanagar,ಪದ್ಮನಾಭನಗರ,171,171 - Padmanabanagar,106,106 - Devagiri Temple Ward,ದೇವಗಿರಿ ದೇವಸ್ಥಾನ ವಾರ್ಡ್,19352,9698,9654,1603,790,813,323,163,160,7,RO- Yediyuru,25,ARO- Yediyuru,Zone1,Rajarajeshwarinagar,"Backward Class ""A"" (Women)",2,3,0,Electrical,Road Maintenance(Engg),Solid Waste (Garbage) Related
West,ಪಶ್ಚಿಮ,5,Padmanabanagar,ಪದ್ಮನಾಭನಗರ,171,171 - Padmanabanagar,107,107 - Dharmagiri Ward,ಧರ್ಮಗಿರಿ ವಾರ್ಡ್,19154,9705,9448,1319,658,661,266,141,125,7,RO- Yediyuru,23,ARO- Ganesh Mandir,Zone1,Rajarajeshwarinagar,General,0,2,1,Electrical,Road Maintenance(Engg),Solid Waste (Garbage) Related
West,ಪಶ್ಚಿಮ,5,Padmanabanagar,ಪದ್ಮನಾಭನಗರ,171,171 - Padmanabanagar,108,108 - Ganesh Mandira Ward,ಗಣೇಶ್ ಮಂದಿರಾ ವಾರ್ಡ್,24265,12133,12133,774,396,378,247,127,120,7,RO- Yediyuru,23,ARO- Ganesh Mandir,Zone1,Rajarajeshwarinagar,General (Women),5,4,0,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Padmanabanagar,ಪದ್ಮನಾಭನಗರ,171,171 - Padmanabanagar,109,109 - Kamakya Layout,ಕಾಮಕ್ಯ ಲೇಔಟ್,28151,14174,13977,544,283,261,307,162,145,7,RO- Yediyuru,23,ARO- Ganesh Mandir,Zone1,Rajarajeshwarinagar,General,6,5,0,Electrical,Road Maintenance(Engg),Solid Waste (Garbage) Related
West,ಪಶ್ಚಿಮ,5,Padmanabanagar,ಪದ್ಮನಾಭನಗರ,171,171 - Padmanabanagar,110,110 - Chikkalasandra,ಚಿಕ್ಕಲ್ಲಸಂದ್ರ,20242,10663,9579,315,175,140,161,95,66,7,RO- Yediyuru,24,ARO- Hosakerehalli,Zone1,Rajarajeshwarinagar,General,0,0,1,Electrical,Road Maintenance(Engg),Solid Waste (Garbage) Related
West,ಪಶ್ಚಿಮ,5,Padmanabanagar,ಪದ್ಮನಾಭನಗರ,171,171 - Padmanabanagar,111,111 - Ittamadu,ಇಟ್ಟಮಡು,19028,9971,9056,1010,523,488,144,70,74,7,RO- Yediyuru,24,ARO- Hosakerehalli,Zone1,Rajarajeshwarinagar,General (Women),0,0,0,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
West,ಪಶ್ಚಿಮ,5,Padmanabanagar,ಪದ್ಮನಾಭನಗರ,171,171 - Padmanabanagar,112,112 - Hosakerehalli,ಹೊಸಕೆರೆಹಳ್ಳಿ,23619,13044,10575,815,434,381,352,180,172,7,RO- Yediyuru,24,ARO- Hosakerehalli,Zone1,Rajarajeshwarinagar,General,1,1,0,Electrical,Solid Waste (Garbage) Related,Road Maintenance(Engg)
